ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,e4f155052194f7d316db5e7c449b76acb58b96c7,dsc,2010-01-26 03:18:43+00:00,Initial commit,False,285,285,0,1.0,1.0,0.8113207547169812,285,72,77,10,3.0,69.24804726933593,5.5,6.0,20.756589711823786,0.75,31.13488456773568,1.7297158093186489,0.006918863237274595
1,a0c7fccff1a4f0239dfffef74dc91a39064db3bb,dsc,2010-01-26 05:06:39+00:00,Updates pypi metadata,False,10,4,6,,,,315,84,95,14,2.8181818181818183,74.49887017038454,5.666666666666667,6.0,17.007651475991505,0.8333333333333334,22.34155221254494,1.2411973451413856,0.005669217158663834
2,eafff151e70a85d3d904cd1571fa29769cb450ce,dsc,2010-01-26 05:26:01+00:00,Fixes setup to include license.,False,5,3,2,,,,315,84,95,14,2.8181818181818183,74.49887017038454,5.666666666666667,6.0,17.007651475991505,0.8333333333333334,22.34155221254494,1.2411973451413856,0.005669217158663834
3,915560fb45ff6dfe121ea511824fd1dfce733a65,dsc,2010-01-26 05:42:14+00:00,"Apparently if I listen to pypi and name my rst file .txt, I lose github formatting. WHATEVER.",False,3,2,1,,,,315,84,95,14,2.8181818181818183,74.49887017038454,5.666666666666667,6.0,17.007651475991505,0.8333333333333334,22.34155221254494,1.2411973451413856,0.005669217158663834
4,b877f0bf4db0f7813f087786d1fbacc3023ad797,dsc,2011-09-02 08:18:59+00:00,Adds transparent PyYAML dump/load support.,False,94,83,11,1.0,1.0,1.0,387,110,118,17,2.5,77.00327654892394,5.666666666666667,6.0,17.007651475991505,0.8333333333333334,22.34155221254494,1.2411973451413856,0.005669217158663834
5,5078e6a3e3f5cbdbdccf463179316ef9496c51d9,dsc,2011-12-27 20:42:13+00:00,Adds more documentation for new serialization support (JSON and YAML).,False,270,187,83,1.0,1.0,1.0,458,135,148,20,2.2941176470588234,78.23972940596289,6.666666666666667,7.0,22.20669961173033,1.0,39.658511721297195,2.2032506511831773,0.0074022332039101095
6,5b068a0548c815848f4489590902db2a6408a8ba,dsc,2012-02-16 01:38:31+00:00,Don't break the universe by using .toYAML() for .__str__().,False,2,1,1,,,,458,135,148,20,2.2941176470588234,78.23972940596289,6.666666666666667,7.0,22.20669961173033,1.0,39.658511721297195,2.2032506511831773,0.0074022332039101095
7,fab4fc9b6b7820fe1b4df351d6a5e521b890b1c6,Dariusz Suchojad,2012-02-22 21:53:57+00:00,"Made __contains__ correctly handle keys like None, True, False and similar.",False,8,7,1,,,,464,135,148,20,2.2941176470588234,77.84367945761541,6.666666666666667,7.0,22.20669961173033,1.0,39.658511721297195,2.2032506511831773,0.0074022332039101095
8,90bad4db45c796829219b93ae27ddd6606ca3646,Rotem Yaari,2012-03-09 20:29:34+00:00,bunch/test.py: return with nonzero if doctest failures exist,False,6,4,2,1.0,1.0,1.0,466,137,150,20,2.2941176470588234,77.84367945761541,6.666666666666667,7.0,22.20669961173033,1.0,39.658511721297195,2.2032506511831773,0.0074022332039101095
9,999659e59ce9edd56c74fa886fc2d799bf8463ed,Rotem Yaari,2012-03-09 20:36:35+00:00,"Python 3 Compatibility Fixes

* Dict methods (iterkeys, iteritems)
* Unicode literals
* Small doctest fixes",False,43,33,10,1.0,1.0,1.0,489,154,166,22,2.2222222222222223,80.6309218730593,5.75,6.0,17.843746584338614,0.875,30.338244728743327,1.6854580404857404,0.005947915528112872
