ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,900fa2f795615683234cc7e7b050a1e131983689,raymond-devries,2020-02-10 21:09:53+00:00,Feature request #3445.,False,5,3,2,0.0,1.0,1.0,17067,8822,9737,914,1.9375,70.05192373528719,37.50684931506849,63.02739726027397,436.6228654195758,2.2114963992543757,2642.678101718324,146.81545009546247,0.1455409551398586
1,d92b64aa275841b0c9aea3903aba72fbc4275d91,David Lord,2020-02-11 00:36:40+00:00,clean up merge,False,8,3,5,,,,16006,8313,9029,869,1.9583843329253365,69.77796413626474,37.77142857142857,63.714285714285715,441.43706622819235,2.2614658957684237,2715.437358481288,150.85763102673823,0.14714568874273076
2,5da342e4dd7dfcc16aa25928ea91d69c2d362f73,Marc Hernandez Cabot,2020-02-11 01:03:52+00:00,fix docstring and remove redundant parentheses,False,4,2,2,,,,17067,8822,9737,914,1.9375,70.05192373528719,37.50684931506849,63.02739726027397,436.6228654195758,2.2114963992543757,2642.678101718324,146.81545009546247,0.1455409551398586
3,bcde664f9a3f6ef3b3d33c6c4e7c3cb3acc2af30,David Lord,2020-02-11 01:34:19+00:00,cli checks for cryptography library,False,18,11,7,0.0,0.0,0.0,17069,8822,9739,914,1.9386574074074074,70.04903968823994,37.534246575342465,63.06849315068493,436.976369079587,2.2111390166623264,2645.3238570895705,146.96243650497613,0.14565878969319568
4,d4076cf07c70d7fccf82aba5c5acae3f3fb99447,frostming,2020-02-11 02:19:25+00:00,strip the ending slash for static_url_path,False,15,14,1,1.0,1.0,1.0,16995,8811,9709,915,1.944055944055944,70.09014431675251,37.465753424657535,63.178082191780824,438.0099047262893,2.2158878555557253,2669.2128931722114,148.28960517623398,0.14600330157542973
5,e6178fe489b7828acc2bb8fd4b56a70b11ab6c6a,Frost Ming,2020-02-12 05:17:03+00:00,Handle different sep across os,False,4,3,1,1.0,1.0,1.0,16997,8813,9711,915,1.9463869463869463,70.08799263194372,37.47945205479452,63.21917808219178,438.34617355257103,2.2163638697303694,2673.190521780358,148.5105845433532,0.1461153911841903
6,d5f88dafaf03a21aa4b6f0a273228fe9263a4a78,kevinanew,2020-03-11 14:24:38+00:00,refactor variable choices into if blocks,False,29,18,11,0.0,0.0,0.0,17089,8841,9754,913,1.9410404624277457,70.04634916647757,37.57534246575342,63.16438356164384,437.85805483406426,2.211513120145903,2652.642290535358,147.3690161408532,0.1459526849446881
7,e047dd6a32dc57cd6e4fb5f064aceddeed979756,Shanavas M,2020-03-18 07:07:51+00:00,Update deprecated for config.from_json,False,2,1,1,,,,17089,8841,9754,913,1.9410404624277457,70.04634916647757,37.57534246575342,63.16438356164384,437.85805483406426,2.211513120145903,2652.642290535358,147.3690161408532,0.1459526849446881
8,4548e00dba81a5e60024d76b35bcfe2a7be8e675,Jeenu Viswambharan,2020-04-03 14:28:44+00:00,clarify static_folder is relative to root_path,False,6,3,3,,,,16997,8813,9711,915,1.9463869463869463,70.08799263194372,37.47945205479452,63.21917808219178,438.34617355257103,2.2163638697303694,2673.190521780358,148.5105845433532,0.1461153911841903
9,4024a4a89c18a1048b7496cf223c0b8c1e63c485,David Lord,2020-04-03 17:02:40+00:00,update deprecation versions,False,35,18,17,1.0,1.0,1.0,16998,8813,9712,915,1.9463869463869463,70.08845728461982,37.47945205479452,63.21917808219178,438.34617355257103,2.2163638697303694,2673.190521780358,148.5105845433532,0.1461153911841903
10,93dd1709d05a1cf0e886df6223377bdab3b077fb,David Lord,2020-04-03 17:10:38+00:00,release version 1.1.2,False,5,3,2,,,,16998,8813,9712,915,1.9463869463869463,70.08845728461982,37.47945205479452,63.21917808219178,438.34617355257103,2.2163638697303694,2673.190521780358,148.5105845433532,0.1461153911841903
11,7673835b3da50575a14213814ea1ccefa860260f,David Lord,2020-04-04 19:05:44+00:00,remove Python 2 from docs,False,961,53,908,,,,17088,8841,9755,913,1.9410404624277457,70.04746645753873,37.57534246575342,63.16438356164384,437.85805483406426,2.211513120145903,2652.642290535358,147.3690161408532,0.1459526849446881
12,a0a61acdecd925cf2a1ffe5fb7acd27c1695f1d8,David Lord,2020-04-04 19:09:55+00:00,drop support for Python 2.7 and 3.5,False,184,54,130,,,,17081,8843,9748,913,1.9410404624277457,70.04197713798195,37.57534246575342,63.16438356164384,437.85805483406426,2.211513120145903,2652.642290535358,147.3690161408532,0.1459526849446881
13,524fd0bc8cec7bfe8167c9c98cb5511b01a0f4c6,David Lord,2020-04-04 19:10:00+00:00,apply pyupgrade,False,399,169,230,1.0,0.16666666666666666,0.0,16557,8588,9454,824,1.9215219976218787,69.4156942790375,37.642857142857146,63.72857142857143,441.4459794797509,2.1879433614973745,2623.2682253254084,145.73712362918937,0.14714865982658362
14,2ae740dd4903bbe5f3864384bcdf2ab2d4638bce,David Lord,2020-04-04 19:10:00+00:00,f-strings everywhere,False,472,227,245,1.0,0.42857142857142855,0.42857142857142855,16537,8588,9433,823,1.9215219976218787,69.5447080024582,35.82857142857143,61.042857142857144,420.4958885332658,2.020273138832724,2260.558295014434,125.58657194524639,0.1401652961777553
15,662c245795c7cbb5dbd657a2d707c62c16770c18,David Lord,2020-04-04 19:10:00+00:00,remove _compat module,False,342,68,274,0.4,0.38181818181818183,0.2909090909090909,16677,8628,9504,879,1.9393579072532698,69.41852738182058,38.34285714285714,64.64285714285714,448.89455548639125,2.246951063837048,2726.152767027452,151.45293150152511,0.1496315184954637
16,1263d3bd142e4964da123f4e59088aa2968ec7e5,David Lord,2020-04-04 19:10:00+00:00,remove deprecated code,False,198,0,198,0.17708333333333334,0.17708333333333334,0.22916666666666666,16883,8768,9641,909,1.9494117647058824,69.89215876973623,37.625,63.416666666666664,440.37655614957197,2.206693453444478,2679.064494723832,148.83691637354625,0.14679218538319064
17,57d628ca74513480908a63a6b66c1c8b1af896e8,David Lord,2020-04-04 19:10:00+00:00,remove more compat code,False,126,37,89,1.0,0.4444444444444444,0.3333333333333333,16625,8602,9476,860,1.9215219976218787,69.43279659029358,38.02857142857143,64.28571428571429,445.99874571650844,2.1903975145744554,2651.579590244822,147.30997723582348,0.14866624857216945
18,f2f027d1fbc12f3ff24f3e471e11ac56e1a5d869,David Lord,2020-04-04 19:28:08+00:00,remove unused module docstrings,False,346,15,331,,,,16221,8551,9432,821,1.9215219976218787,67.85451474652311,35.785714285714285,61.0,420.4279615689493,2.013130281689867,2260.524331532276,125.58468508512648,0.14014265385631644
19,171aabc87dd8bff0367d0555c8be6105b00c22ce,David Lord,2020-04-04 19:57:14+00:00,"remove unused ref directives

replace page refs with doc directives",False,350,129,221,,,,16220,8551,9432,821,1.9215219976218787,67.852920827545,35.785714285714285,61.0,420.4279615689493,2.013130281689867,2260.524331532276,125.58468508512648,0.14014265385631644
20,024f0d384cf5bb65c76ac59f8ddce464b2dc2ca1,David Lord,2020-04-04 21:50:21+00:00,move package metadata to setup.cfg,False,293,142,151,,,,16144,8540,9358,822,1.9215219976218787,67.852920827545,35.785714285714285,61.0,420.4279615689493,2.013130281689867,2260.524331532276,125.58468508512648,0.14014265385631644
21,c43edfc7c08b8dbe883761bec14fa75ee7db1bf3,David Lord,2020-04-07 16:55:39+00:00,"remove simplejson

- remove encoding detection backport, json.loads supports it directly
- use str.translate instead of multiple str.replace",False,140,27,113,0.6285714285714286,0.6285714285714286,0.11428571428571428,16074,8505,9307,820,1.9094159713945174,67.91962116861757,35.47142857142857,60.5,416.94325872627536,1.9959321985614646,2240.9090508032823,124.49494726684905,0.1389810862420918
22,8b5f760b7285c863d5c7a4ee10adb5eb7ac60a05,David Lord,2020-04-07 19:32:27+00:00,"deprecate JSON encoding options

make consistent with built-in json module",False,103,54,49,0.1111111111111111,1.0,0.0,16079,8508,9315,820,1.911589008363202,67.93672323507278,35.371428571428574,60.385714285714286,416.03994541174745,1.990334946189365,2236.3272620667717,124.240403448154,0.13867998180391583
23,756902cca1bab981fbec0ea759d93239d9a711f0,David Lord,2020-04-07 20:37:14+00:00,update json docs,False,277,142,135,,,,16096,8508,9315,820,1.911589008363202,67.9145405817047,35.371428571428574,60.385714285714286,416.03994541174745,1.990334946189365,2236.3272620667717,124.240403448154,0.13867998180391583
24,fcac7f11cf5fbdaa43c3a8c305b31cf0a43a70d3,David Lord,2020-04-07 22:54:36+00:00,deprecate passing script_info to factory,False,83,45,38,0.0,0.2727272727272727,0.36363636363636365,16104,8512,9325,819,1.9126794258373205,67.90641846269266,35.371428571428574,60.385714285714286,416.03994541174745,1.990334946189365,2236.3272620667717,124.240403448154,0.13867998180391583
25,ff2f71379b719903e462ed6a83801b1736009000,David Lord,2020-04-08 00:54:51+00:00,"use ast to parse FLASK_APP

enables keyword arguments to factory functions",False,107,67,40,0.0,0.0,0.0,16129,8519,9342,826,1.9186602870813396,67.89268794617037,35.4,60.47142857142857,416.6998577351475,1.9917069342369196,2243.429616515825,124.63497869532367,0.1388999525783825
26,846ee2c62e369ed06190b8791088748bd3a83557,jackwardell,2020-04-16 17:49:42+00:00,add assert message for errorhandler exception type,False,12,11,1,0.25,1.0,1.0,16139,8523,9350,826,1.9186602870813396,67.88827431588447,35.4,60.47142857142857,416.6998577351475,1.9917069342369196,2243.429616515825,124.63497869532367,0.1388999525783825
27,eea31f29a50eeb30ec3c314bb2a6de4c931095c1,David Lord,2020-05-23 21:03:11+00:00,use pip-compile to pin dev requirements,False,166,137,29,,,,16128,8523,9339,826,1.9186602870813396,67.88827431588447,35.4,60.47142857142857,416.6998577351475,1.9917069342369196,2243.429616515825,124.63497869532367,0.1388999525783825
28,84cbfc0698f429c93450cd6f1600e56b41a30247,Grey Li,2020-07-05 01:37:03+00:00,Stop change CWD to .env/.flaskenv location,False,9,1,8,1.0,1.0,0.0,16121,8521,9337,826,1.9162679425837321,67.89268587799849,35.371428571428574,60.385714285714286,416.03994541174745,1.990334946189365,2236.3272620667717,124.240403448154,0.13867998180391583
29,7ba35c4d4fe99418cee9c87900bd0d3b38cf5bd0,Joshua Bronson,2020-07-06 12:55:19+00:00,"Restore support for using pathlib.Path for static_folder.

* No longer causes AttributeError: 'PosixPath' object has no
  attribute 'rstrip'.

* This was broken by e6178fe489b7828acc2bb8fd4b56a70b11ab6c6a
  which was released in 1.1.2.

* Add a regression test that now passes.

See #3557.",False,21,20,1,1.0,1.0,1.0,16138,8530,9346,826,1.917562724014337,67.88827431588447,35.42857142857143,60.51428571428571,417.1604915600468,1.9916154613483465,2245.914171200036,124.77300951111317,0.13905349718668228
