ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,937bd3c3c3a6630519cf3d49d4e991c8e63ce889,Bogdan Popa,2017-05-30 11:54:15+00:00,chore: initial commit,False,708,708,0,1.0,1.0,0.6254681647940075,675,363,340,30,1.4814814814814814,91.91597496793608,2.4615384615384617,3.230769230769231,9.306995137214393,0.34615384615384615,10.88808166169458,0.604893425649699,0.0031023317124047973
1,e5abc29d6e2e2ffbc4316035c0d6f2c203e3ba63,Bogdan Popa,2017-05-30 11:58:26+00:00,refactor: require that after_process_message take named params,False,2,1,1,,,,675,363,340,30,1.4814814814814814,91.91597496793608,2.4615384615384617,3.230769230769231,9.306995137214393,0.34615384615384615,10.88808166169458,0.604893425649699,0.0031023317124047973
2,91e08bccc8606ecf94156c0eb54b92b94d9b4838,Bogdan Popa,2017-05-30 12:18:57+00:00,refactor: name broker logger after its class name,False,8,6,2,,,,679,363,340,30,1.4814814814814814,91.83679093845453,2.4615384615384617,3.230769230769231,9.306995137214393,0.34615384615384615,10.88808166169458,0.604893425649699,0.0031023317124047973
3,c390fa6e7509f285d8d5f5146f39bf53b43248d8,Bogdan Popa,2017-05-31 07:25:03+00:00,fix: make kwargs work in @actor,False,19,17,2,1.0,1.0,0.6666666666666666,694,372,349,32,1.4878048780487805,91.57065037539928,2.8461538461538463,3.923076923076923,12.331058655676783,0.3923076923076923,16.119213752546237,0.8955118751414577,0.004110352885225594
4,365b39e0f51e7cb0b7a0f00ca8831536a4f471a5,Bogdan Popa,2017-05-31 07:25:19+00:00,refactor: lower timeouts in stub and test worker,False,21,11,10,,,0.0,695,373,350,32,1.4878048780487805,91.57065037539928,2.8461538461538463,3.923076923076923,12.331058655676783,0.3923076923076923,16.119213752546237,0.8955118751414577,0.004110352885225594
5,87464775b6be4e37989ba9f5e018a38fb2f43742,Bogdan Popa,2017-05-31 07:57:11+00:00,refactor: clean up logging,False,57,37,20,1.0,1.0,1.0,712,382,362,34,1.5542168674698795,91.14643969160923,3.1538461538461537,4.384615384615385,14.390630771893502,0.4435897435897437,20.936449330856153,1.1631360739364531,0.0047968769239645
6,933468cce39bb85ceacf9ff9eb74918ad9a5a2a7,Bogdan Popa,2017-05-31 09:00:14+00:00,feature: implement rabbit broker,False,257,212,45,1.0,1.0,0.8602150537634409,879,484,471,44,1.5714285714285714,88.11132514250818,4.4,5.8,19.88959025505793,0.6222222222222222,34.2379828489831,1.902110158276839,0.006629863418352642
7,23e6facbc2aa79413df12e2744b83c100ec4525a,Bogdan Popa,2017-05-31 10:46:30+00:00,feature: add cli,False,139,108,31,0.5128205128205128,1.0,0.717948717948718,953,532,527,46,1.61,87.78975845300182,3.8823529411764706,5.0588235294117645,16.37253208780588,0.5784313725490197,24.77948149957816,1.3766378610876753,0.005457510695935293
8,c9bfcee20730747f5fea89c1707cf5aa08b16946,Bogdan Popa,2017-05-31 11:08:27+00:00,feature: log exceptions during message processing,False,4,2,2,1.0,1.0,0.0,953,532,527,46,1.61,87.84457789573355,3.8823529411764706,5.0588235294117645,16.37253208780588,0.5784313725490197,24.77948149957816,1.3766378610876753,0.005457510695935293
9,4a5afdf026b647c8ad5eef2316351308f18d07de,Bogdan Popa,2017-05-31 11:15:48+00:00,refactor: clean up worker logging,False,27,13,14,0.0,0.0,0.0,952,535,524,47,1.61,87.98389528300244,3.8823529411764706,5.0588235294117645,16.37253208780588,0.5784313725490197,24.77948149957816,1.3766378610876753,0.005457510695935293
